,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
0,PersonX finds hope and self-esteem in counseling,xReact,optimistic,Shan finds hope and self-esteem in counseling. Now Shan feels optimistic.,"Shan seeks counseling to help address his low self-esteem. In counseling, Shan learns ways to cope with his negative thoughts and begins to see himself in a more positive light. He starts to feel more hopeful about his future and takes pride in his accomplishments.","[""I just feel like I'm not good enough, you know? No matter what I do, it's never enough.""
 'It sounds like you have some pretty negative thoughts about yourself. Can you tell me more about that?'
 ""Yeah. I guess I just feel like I'm always falling short, no matter what. Like, I'll work really hard at something and then it turns out bad or someone else does it better than me and it just feels awful.""
 ""That doesn't sound like a very positive way to view yourself or your accomplishments. What do you think might be causing these negative thoughts?""
 ""I don't know. Maybe it's just how things have always been for me. Whenever something goes wrong, it feels like it's all my fault somehow. And even when things are going well, I just don't feel good enough somehow.""
 ""That doesn't sound like a very healthy way to live your life. Are you willing to try and change that?""
 ""Yes, I think so. It's just really hard sometimes to see myself in a positive light when everything around me seems so negative. But I'm willing to try if it will help me feel better about myself.""
 ""Well, let's start by exploring some of the reasons why you might feel this way. Do you think there are certain situations or events that trigger these negative thoughts?""
 ""Yeah, I guess so. Like I said, whenever something goes wrong or I don't meet my own expectations, it really bothers me.""
 ""So it sounds like you're pretty hard on yourself. Can you think of any other times when you might feel this way?""
 ""Yeah, I guess any time I'm compared to others or have to compete with someone. It just makes me feel really inferior and not good enough.""
 ""That definitely sounds like a lot of pressure that you're putting on yourself. Would you be willing to try and let go of some of that pressure? Maybe give yourself a break every once in awhile?""
 ""Yeah, I think that would help. Just knowing that I don't have to be perfect all the time would take a lot of the stress off.""
 ""That's definitely a good idea. Why don't we try some relaxation techniques to help you let go of some of that tension and stress?""]","['Shan' 'Counselor' 'Shan' 'Counselor' 'Shan' 'Counselor' 'Shan'
 'Counselor' 'Shan' 'Counselor' 'Shan' 'Counselor' 'Shan' 'Counselor']",Shan,,,6028012,train,Yes,Yes,Yes,No
1,PersonX begins a counseling session,xEffect,is able to control his anger,Zuleika begins a counseling session. Now Zuleika is able to control his anger.,Zuleika begins a counseling session. The counselor helps him to understand his anger and how to control it. Zuleika is able to control his anger and improve his life.,"[""Counselor: So, what's been going on that's been causing you to feel so angry?""
 ""It's just everything, you know? I feel like I'm constantly being put down or ignored. And it all just builds up until I can't take it anymore and I lash out.""
 ""Do you have any specific examples of what's been going on?""
 ""Well, my boss has been riding me pretty hard lately. And my wife doesn't really seem to understand how stressed I am. She's always telling me to relax and not take things so seriously. But how can I relax when everything feels like it's falling apart?""
 ""It sounds like you're feeling a lot of pressure from both your work and your home life. Is there anything you can do to reduce the amount of stress you're feeling?""
 ""I don't know. That's why I'm here, I guess. I need help figuring out how to deal with all this anger before it destroys my life.""
 ""Well, let's start by exploring where this anger is coming from. What do you think is causing it?""
 ""I'm not really sure. That's one of the things I want to figure out.""
 ""Okay. Let's try to look at it from a different perspective then. What are some of the positive things in your life?""
 'Well, I have a great family and friends. And I love my job, even though it can be stressful at times.'
 'It sounds like you have a lot of good things going for you. So why do you think the negative things are impacting you so much?'
 ""I don't know. They just seem to be magnified right now and I can't shake this feeling that everything is falling apart.""
 ""It sounds like you're feeling very helpless and hopeless right now. But it's important to remember that you're not alone in this and there are people who care about you and want to help you through this difficult time.""]","['Zuleika' 'Counselor' 'Zuleika' 'Counselor' 'Zuleika' 'Counselor'
 'Zuleika' 'Zuleika' 'Counselor' 'Zuleika' 'Counselor' 'Zuleika'
 'Counselor']",Zuleika,,,6062358,train,Yes,Yes,Yes,Yes
2,PersonX suggests seeking counseling,xEffect,receives counseling,Chaz suggests seeking counseling. Now Chaz receives counseling.,"Chaz had been dealing with a lot of stress from her job and suggested to her husband that maybe she should seek counseling. After a few sessions, Chaz felt like she was finally able to talk about her problems and began to feel better.","[""I feel like I'm finally able to talk about my problems and I'm beginning to feel better.""
 ""That's great, Chaz! I'm really happy to hear that.""
 ""Yeah, I think counseling has really helped me. I'm able to talk about things that I never felt comfortable discussing before.""
 'What kind of things?'
 'Just things that have been bothering me for a while. My job, our relationship...stuff like that.'
 ""Well, I'm glad you're feeling better. If there's anything I can do to help, just let me know.""]",['Chaz' 'Husband' 'Chaz' 'Husband' 'Chaz' 'Husband'],Chaz,,,6073460,train,Yes,Yes,Yes,Yes
3,PersonX begins a counseling session,xReact,safe,Ahron begins a counseling session. Now Ahron feels safe.,Ahron begins a counseling session in which they feel safe to discuss their feelings and experiences. This allows them to process their trauma and begin to heal.,"[""I'm not sure where to start.""
 ""That's okay. We can start anywhere you'd like. How are you feeling today?""
 ""I feel really scared and alone. I don't know what to do or where to go from here.""
 ""It sounds like you've been through a lot. Do you want to talk about what happened?""
 ""I was raped by my ex-boyfriend. I thought he loved me, but he hurt me so badly. I don't know if I can ever trust anyone again.""
 ""I'm so sorry that happened to you, Ahron. It wasn't your fault and you didn't deserve it. You are not alone in this – we will support you through this process and help you heal.""
 ""Thank you. Just knowing I'm not alone makes me feel a little better.""
 'What would you like to do next? We can take things at your pace.'
 ""I think I need some time to process everything. But I'd like to keep talking to you – I feel like you understand what I'm going through.""
 ""That's perfectly understandable. We can schedule another session for next week if that works for you. In the meantime, here is a list of resources that might be helpful for you.""]","['Ahron' 'Counselor' 'Ahron' 'Counselor' 'Ahron' 'Counselor' 'Ahron'
 'Counselor' 'Ahron' 'Counselor']",Ahron,,,6099833,train,Yes,Yes,Unknown,No
4,PersonX goes away to school,xNeed,to apply,Jeb applied. Jeb goes away to school.,Jeb went to the college counseling office and asked about schools that would be a good fit for her. She was told about a few schools and decided to apply to them. Jeb went away to school and had a great experience.,"[""So I've been thinking about what you said, and I'm really interested in the schools you mentioned. Can you tell me more about them?""
 'Of course! Let me pull up some information on each of them. So, these are the schools that we think would be a good fit for you based on your interests and academic profile. [The counselor then proceeds to give Jeb more information about each school, including statistics, programs of study, student life, and anything else Jeb might be interested in.]'
 ""That's really helpful, thank you. I think I'm going to apply to all of them!""
 ""Wonderful! We'll be here to help you through the process every step of the way.""
 'Thank you so much for all your help. I really appreciate it.'
 ""You're welcome, Jeb. Good luck with everything!""]","['Jeb' 'College Counselor' 'Jeb' 'College Counselor' 'Jeb'
 'College Counselor']",Jeb,,,6189113,train,Yes,Yes,Unknown,Yes
5,PersonX agrees to seeing a counselor,xIntent,to talk about his problems,Regine agrees to seeing a counselor because Regine wants to talk about his problems.,"Regine wants to talk to someone about the problems she's been having, so she agrees to see a counselor. She meets with the counselor once a week, and they talk about the things that have been bothering her. After a few months of counseling, Regine feels much better and is able to deal with her problems on her own.","[""I just don't know what to do. I feel like I'm stuck in this rut and I can't get out.""
 ""It sounds like you're feeling very helpless and hopeless right now. Can you tell me more about why you feel this way?""
 ""I don't know...I just feel like my life is a mess and it's never going to get better. I'm always screwing up and messing things up. I just feel so lost.""
 ""It sounds like you have a lot of self-doubt and negative self-talk going on. We can work on that in counseling, but first, let's try to identify some of the specific things that have been causing you to feel this way. Are there any particular events or situations that stand out to you?""
 ""Well, I guess one thing that's been really bothering me lately is my job. I hate my job, but I feel like I can't quit because I need the money. And even if I did quit, I don't know what else I would do with my life. So that just makes me feel even more stuck.""
 ""It sounds like your job is a big source of stress for you right now. That's definitely something we can work on in counseling. Are there any other areas of your life that are causing you stress or making you feel unhappy?""
 ""I guess another thing that's been bothering me is my relationship with my boyfriend. We've been together for a few years, but lately it feels like we're just drifting apart and he doesn't seem to care about me anymore. That really hurts and makes me feel really alone.""
 ""It sounds like your relationship is another source of stress for you. Let's talk more about that in our next session. Are there any other areas of your life that are causing you stress or making you unhappy?""]","['Regine' 'Counselor' 'Regine' 'Counselor' 'Regine' 'Counselor' 'Regine'
 'Counselor']",Regine,,,6190664,train,Yes,Yes,Yes,Yes
6,PersonX contemplates other possibilities,xReact,hopeful,Ajani contemplates other possibilities. Now Ajani feels hopeful.,"Ajani and Brianne had been married for four years when they began to grow apart. The once happy couple stopped enjoying the same activities and found that they were constantly arguing. In an effort to save their marriage, the pair went to counseling.","[""I don't know what happened. We used to be so happy.""
 ""I know. I feel like we've grown apart lately.""
 ""Yeah, I feel that way too. It's like we're not on the same page anymore.""
 ""I know. It's like we're not even speaking the same language.""
 ""What can we do to fix this? I don't want to lose you.""
 ""I don't want to lose you either. Maybe we need to spend more time together again and really communicate with each other.""
 ""I think that's a good idea. I love you, Brianne.""
 'I love you too, Ajani.']",['Ajani' 'Brianne' 'Ajani' 'Brianne' 'Ajani' 'Brianne' 'Ajani' 'Brianne'],Ajani,,,6209145,train,Unknown,No,Yes,Yes
7,PersonX is given counseling,xNeed,to be told about the counseling,Jadalynn was told about the counseling. Jadalynn is given counseling.,Jadalynn was told about the counseling by her friend. Jadalynn is given counseling by a professional.,"[""I just don't know what to do. I feel so lost.""
 'It sounds like you are feeling overwhelmed and uncertain about your future. Can you tell me more about why you feel this way?'
 ""It's just everything. School, my parents, my friends. I don't know who I am anymore. I used to be so sure of myself but now I feel like I'm just floating through life without any direction.""
 ""That sounds very difficult. But it's also common for people to feel like this during adolescence as they are trying to figure out who they are and what they want in life. So you are not alone in feeling this way.""
 ""Yeah, I guess that makes me feel a little better knowing that other people have felt this way too. But it doesn't make it any easier dealing with it myself.""
 ""No, it doesn't make it easier but understanding that this is a common experience can help you to not feel as lost and alone in your feelings. Adolescence is a time of great change and can be very confusing and scary at times but ultimately it can also be a time of great growth and discovery if we allow ourselves to go through the process.""
 ""Yeah, I guess that makes sense...I'm just afraid of making the wrong choices or taking the wrong path in life and ending up somewhere I don't want to be..""
 'Yes, making decisions can be scary but ultimately we all have to make them whether we want to or not. And sometimes we do end up making choices that we later regret but that doesn\'t mean that we are bad people or that our lives are ruined forever because of them. We all make mistakes and learn from them as we go through life. What\'s important is that we try our best to learn from our mistakes and not repeat them in the future.""'
 ""Yeah, I guess you're right. I just need to try and not let myself get so overwhelmed with everything and trust that I'll make the right choices eventually.""
 ""Exactly. Trust yourself and your ability to make decisions. You are capable of making good choices and you will learn from your mistakes as you go through life. Just take things one step at a time and don't put too much pressure on yourself.""]","['Jadalynn' 'Counselor' 'Jadalynn' 'Counselor' 'Jadalynn' 'Counselor'
 'Jadalynn' 'Counselor' 'Jadalynn' 'Counselor']",Jadalynn,,,6228971,train,Yes,Yes,Yes,Yes
8,PersonX enters counseling,xWant,to be happy,Lauro enters counseling. Now Lauro wants to be happy.,"Lauro enters counseling and meets with a therapist. After some time, Lauro feels better and is able to talk about her feelings. She starts to feel happy again and is able to enjoy her life.","[""I'm feeling really good today. I'm happy and I feel like I can enjoy my life again.""
 ""That's great! It sounds like counseling has been helpful for you.""
 'Yes, it has. I was able to talk about my feelings and start to understand why I was feeling the way I was. And now I feel better.'
 ""That's terrific! Would you like to share what you think might have been causing your distress?""
 ""Well, I think part of it was that I was holding onto a lot of anger towards my parents. They got divorced when I was younger, and it really hurt me. I felt like they didn't care about me or my feelings. But now that I've talked about it in counseling, I realize that they were going through their own pain and they did the best they could at the time. So, now I don't hold onto that anger anymore and we're actually doing really well now.""
 'That makes sense. It\'s often hard to let go of anger because we want the people who hurt us to suffer as much as we did. But sometimes forgiveness is the best thing for us, even if the other person doesn\'t deserve it. We have to do it for ourselves so we can move on with our lives.""'
 ""Yeah, I see that now. And I do feel like I've forgiven them and I'm able to have a good relationship with them now.""
 ""That's great! What do you think has been the most helpful part of counseling for you?""
 'Just being able to talk about everything that was going on. It felt really good to get it all out and to know that someone was listening and understood. That made me feel a lot better.'
 'Yes, talking about our problems can be very therapeutic. It can help us to process our emotions and to understand ourselves better. Did anything else come up in counseling that you found helpful?'
 'Yes, we talked about my childhood a lot and how that might have contributed to my anxiety and depression. I never really thought about it before, but it makes sense now. And knowing that there are other people who have gone through similar things has been really helpful too.'
 ""Yes, it can be reassuring to know we're not alone in our experiences. So, overall how would you say counseling has been helpful for you?""
 'It\'s been really helpful. I\'m feeling better than I ever have before and I\'m hopeful for the future.""']","['Lauro' 'Therapist' 'Lauro' 'Therapist' 'Lauro' 'Therapist' 'Lauro'
 'Therapist' 'Lauro' 'Therapist' 'Lauro' 'Therapist' 'Lauro']",Lauro,,,6232235,train,Yes,Yes,Yes,Yes
9,PersonX enters counseling,xWant,to be more open with his friends,Katharina enters counseling. Now Katharina wants to be more open with his friends.,"Katharina enters counseling. He talks about his childhood, his parents' divorce, and how he feels like he's been carrying around a lot of anger and pain. He wants to be more open with his friends, and he hopes that counseling will help him learn how to express himself better.","[""I guess I've just been carrying around a lot of anger and pain, you know?""
 ""Yes, it sounds like you have. Can you tell me more about your childhood and your parents' divorce?""
 ""Well, my parents got divorced when I was young, and it was really tough on me. I felt like I had to choose sides between them, and I always felt like I was the one who was left out. My mom would always talk about my dad in negative ways, and it made me feel really angry towards him. And then when he would try to reach out to me, I would just push him away because I didn't want to deal with him either. It's like I've been carrying around this resentment towards both of them for a long time.""
 ""That makes sense. It sounds like you experienced a lot of pain during your parents' divorce. Do you think counseling can help you learn how to express yourself better so that you can share your feelings with your friends?""
 ""Yeah, I think so. I just feel like I've been holding everything in for so long that it's hard for me to let go of it all. But if counseling can help me learn how to do that, then I'm definitely willing to give it a shot.""]",['Katharina' 'Counselor' 'Katharina' 'Counselor' 'Katharina'],Katharina,,,6250702,train,Yes,Yes,Yes,Yes
