,head,relation,tail,literal,narrative,dialogue,speakers,PersonX,PersonY,PersonZ,original_index,split,head_answer,pmi_head_answer,relation_tail_answer,pmi_relation_tail_answer
1,PersonX talks to PersonY in the afternoon,xIntent,to make PersonY feel better,Lilibeth talks to Katelyn in the afternoon because Lilibeth wants to make Katelyn feel better.,"Katelyn is sad because her best friend moved away. Lilibeth talks to Katelyn in the afternoon to try and make her feel better. Lilibeth asks Katelyn about her favorite memories with her friend, and Katelyn starts to feel better.","[""Hey, it's Lilibeth. How are you holding up?""
 'Not great. I miss my best friend so much.'
 ""I'm so sorry. What was your favorite memory with her?""
 'We used to spend every Saturday together. We would go to the park and then get ice cream. Just talking and laughing together was the best part.'
 ""That sounds really nice. I'm sure you'll make new memories with other friends, but it's totally natural to miss her right now.""
 ""Yeah, I guess you're right. Thanks for talking to me, Lilibeth.""
 ""Of course! Anytime you need to talk, I'm here for you.""]",['Lilibeth' 'Katelyn' 'Lilibeth' 'Katelyn' 'Lilibeth' 'Katelyn' 'Lilibeth'],Lilibeth,Katelyn,,6032411,train,Yes,Yes,Yes,Yes
6,PersonX mentions some event to PersonY,xIntent,to make PersonY feel better,Seleste mentions some event to Mitzy because Seleste wants to make Mitzy feel better.,"He had seen her looking sad, and he thought that maybe she just needed a pick-me-up.","['Hi, Mitzy. You seem a little down today. Is everything okay?'
 ""Oh, hi Seleste. Yeah, I'm just a bit stressed out lately. It's been tough to keep up with everything.""
 'I completely understand. It sounds like you could really use a pick-me-up then.'
 'A pick-me-up? What do you mean?'
 'Well, something to make you feel better or take your mind off of things for a while. Here, let me show you what I mean. *reaches into pocket and pulls out a small wrapped present* This is for you. I saw it and thought of you right away.'
 ""Awww, Seleste, that's so sweet of you! Thank you so much!""]",['Seleste' 'Mitzy' 'Seleste' 'Mitzy' 'Seleste' 'Mitzy'],Seleste,Mitzy,,6045902,train,Unknown,No,Yes,Yes
7,PersonX relates to PersonY,xIntent,to make PersonY feel better,Gavin relates to Gianella because Gavin wants to make Gianella feel better.,"Gavin hugs Gianella because she wants him to feel better. Gavin thinks that Gianella looks like he needs a hug, and she is happy to provide one.","['Hey, are you okay? You look like you could use a hug.'
 ""Yeah, I'm fine. Just feeling a little down lately.""
 ""Aww, I'm sorry to hear that. Here, give me a hug."" 'Thank you.'
 'No problem. I hope that helped make you feel better.'
 'Yeah, it did. Thanks for being understanding and caring.']",['Gavin' 'Gianella' 'Gavin' 'Gianella' 'Gavin' 'Gianella'],Gavin,Gianella,,6046160,train,Yes,Yes,Yes,Yes
8,PersonX strokes PersonY's hair,xIntent,to make PersonY feel better,Nick strokes Stori's hair because Nick wants to make Stori feel better.,"Nick is stroking Stori's hair because she wants to make him feel better. She knows that he's been through a lot lately, and she just wants to help him in any way she can. She gently runs her fingers through his hair, trying to soothe him the best she can.","[""Hey, it's okay. I'm here for you.""
 'I know. I just feel so lost right now.'
 ""I can imagine. But you're not alone, I promise. We'll get through this together.""
 ""Thank you. Just knowing you're here for me makes me feel a little better already.""
 'Of course, anything for you. So, what do you want to talk about?'
 ""I don't know...everything, I guess?""
 ""Okay, let's start with what's been going on at work then.""
 'Yeah, that sounds like a good place to start...']",['Nick' 'Stori' 'Nick' 'Stori' 'Nick' 'Stori' 'Nick' 'Stori'],Nick,Stori,,6055258,train,Yes,Yes,Yes,Yes
9,PersonX offers a drink to PersonY,xIntent,to make PersonY feel better,Caelan offers a drink to Bethany because Caelan wants to make Bethany feel better.,Caelan offered Bethany a drink of water because Caelan wanted to make her feel better. Bethany had just found out her dog had died and was feeling very sad. Caelan thought a drink of water might help Bethany feel better.,"[""Hi, Bethany. I'm so sorry to hear about your dog. Can I get you a drink of water?""
 'Yes, thank you, Caelan. That would be great.'
 'Here you go. Let me know if you need anything else.' 'Thank you.'
 ""I'm really sorry about your dog, Bethany. Is there anything I can do to help you feel better?""
 'Just being here with me is a big help, Caelan. Thank you.']",['Caelan' 'Bethany' 'Caelan' 'Bethany' 'Caelan' 'Bethany'],Caelan,Bethany,,6061097,train,Yes,Yes,Yes,Yes
10,PersonX sees how upset PersonY is,xIntent,to make PersonY feel better,Golda sees how upset Heavyn is because Golda wants to make Heavyn feel better.,Golda sees how upset Heavyn is because she's crying and her shoulders are shaking. Golda feels bad because she knows that Heavyn is struggling and she wants to help her. Golda comes up with a plan to make Heavyn feel better by giving her a hug and telling her that everything will be alright.,"[""Hey, Heavyn. What's wrong?""
 ""I'm just really struggling right now. I feel like I can't do anything right and everything is falling apart.""
 ""Oh, Heavyn. I'm so sorry. I can tell that you're really upset and I want to help you. Here, give me a hug.""
 ""Thank you, Golda. Just knowing that you're here for me makes me feel a little better already.""
 ""Of course, Heavyn. I'll always be here for you. Now, let's talk about what's going on and see if we can figure out a plan to make things better for you, okay?""
 'Okay.' ""So, what's been going on that's been making you so upset?""
 ""Well, I've just been feeling really down lately. I'm not doing well in school and my parents are constantly fighting. Nothing seems to be going right for me.""
 ""I'm so sorry, Heavyn. That sounds really tough. Do you want to talk about each thing that's going on? We can try to figure out a plan for each problem together.""
 'Yeah, that would be great. Thank you, Golda.'
 ""Okay, let's start with your parents fighting. What usually happens when they fight?""
 ""They just start yelling at each other and it gets really intense. Sometimes they even throw things or slam doors. It's really scary and it makes me feel like they're going to get divorced or something bad is going to happen.""
 'That does sound pretty scary and intense. Have you talked to them about how their fighting is affecting you?'
 ""No, I haven't because I'm afraid of what they might say or do if I bring it up. Plus, they always seem so wrapped up in their own problems that they don't even notice how much their fighting affects me.""
 'Well, maybe we can brainstorm a way for you to bring it up with them without them getting too upset? What do you think?'
 ""Yeah, that could work. But even if I do talk to them about it, I don't know if anything will change because they've been arguing a lot lately no matter what I do or say""]","['Golda' 'Heavyn' 'Golda' 'Heavyn' 'Golda' 'Heavyn' 'Golda' 'Heavyn'
 'Golda' 'Heavyn' 'Golda' 'Heavyn' 'Golda' 'Heavyn' 'Golda' 'Heavyn']",Golda,Heavyn,,6061100,train,Yes,Yes,Yes,Yes
11,PersonX feels PersonY,xWant,to make PersonY feel better,Garth feels Jamar. Now Garth wants to make Jamar feel better.,"Garth felt compassion for Jamar when she saw how down she looked. Garth decided she wanted to make Jamar feel better, so she went over and asked if she was okay. When Jamar said she was feeling a little down, Garth offered to get her a drink or something to eat.","['Hi, are you okay? You look a little down.'
 ""Yeah, I'm just feeling a little down today.""
 ""Oh, I'm sorry to hear that. Is there anything I can do to help make you feel better?""
 'Well, maybe getting me a drink or something to eat would help.'
 ""Okay, sure. I'll be right back."" 'Here you go. I hope this helps.'
 'Thank you. It does help. I appreciate it.']",['Garth' 'Jamar' 'Garth' 'Jamar' 'Garth' 'Garth' 'Jamar'],Garth,Jamar,,6083202,train,Yes,Yes,Yes,Yes
12,PersonX feeds PersonY's need for reassurance,xWant,to make PersonY feel better,Mckinlee feeds Sohan's need for reassurance. Now Mckinlee wants to make Sohan feel better.,"Mckinlee feeds Sohan's need for reassurance by making him feel better. Mckinlee does this by talking to Sohan, reassuring him that everything is going to be alright, and by giving him a hug.","[""Hey, it's okay. I'm here for you."" 'I just feel so lost right now.'
 ""You're not lost. I'm here with you. We'll get through this together.""
 ""But what if we can't?"" ""We will, because we're in this together.""
 'Thank you, Mckinlee.' 'Any time.']",['Mckinlee' 'Sohan' 'Mckinlee' 'Sohan' 'Mckinlee' 'Sohan' 'Mckinlee'],Mckinlee,Sohan,,6092213,train,Yes,Yes,Yes,Yes
13,PersonX talks to PersonY alone,xIntent,to make PersonY feel better,Clair talks to Taliyah alone because Clair wants to make Taliyah feel better.,Clair talks to Taliyah alone because Clair wants to make Taliyah feel better. Clair knows that Taliyah is feeling down because he didn't make the basketball team. Clair tells Taliyah that it's okay and that he will still be her friend no matter what.,"[""Hey, Taliyah. I saw that you didn't make the basketball team. I'm sorry.""
 ""It's fine. I'm not good enough anyway.""
 ""That's not true! You're a great player! I'm sure you just didn't make it because there were too many other people trying out.""
 'Maybe. But it still sucks.'
 ""Yeah, I know how you feel. When I was in seventh grade, I really wanted to be on the cheerleading squad but I didn't make it either. It felt terrible at first but eventually, I got over it and realized that there are other things that are more important than being on a team. And even though we're not on the same team, we're still friends, right?""
 'Yeah, of course we are!']",['Clair' 'Taliyah' 'Clair' 'Taliyah' 'Clair' 'Taliyah'],Clair,Taliyah,,6092843,train,Yes,Yes,Yes,Yes
14,PersonX works on getting to know PersonY,xIntent,to make PersonY feel better,Garner works on getting to know Leela because Garner wants to make Leela feel better.,"Garner is trying to get to know Leela better so that Leela will feel more comfortable. Garner asks Leela about his hobbies, favorite things, and anything else that might help Garner get to know Leela better.","['So Leela, what do you like to do for fun?'
 'I like playing video games and basketball.'
 ""That's great! What kind of video games do you like to play?""
 'I really like first-person shooter games and driving games.'
 ""Okay, so you're into the action and fast-paced games. Do you have a favorite driving game?""
 ""Yeah, I really like Need for Speed. It's really cool to be able to race through different tracks and try to beat your best time.""
 'That sounds like a lot of fun! Do you play online with other people or just by yourself?'
 ""Sometimes I'll play with my friends online, but mostly I just play by myself. I find it more challenging that way.""
 ""I can understand that. Sometimes it's more fun to see how far you can push yourself.""
 'Yeah, exactly.' 'So, is basketball your favorite sport?'
 'Yeah, I really enjoy playing it. I like the feeling of scoring points and working as a team to try and win the game.'
 'That sounds like a lot of fun! Do you play on a team or just in pick-up games?'
 'I used to play on a team when I was younger, but now I just stick to pick-up games with my friends.'
 ""That's still great! It's important to stay active and have fun. Do you have any other hobbies?""
 ""Not really. I mean, I like hanging out with my friends and watching movies, but nothing else that I'm really into.""]","['Garner' 'Leela' 'Garner' 'Leela' 'Garner' 'Leela' 'Garner' 'Leela'
 'Garner' 'Leela' 'Garner' 'Leela' 'Garner' 'Leela' 'Garner' 'Leela']",Garner,Leela,,6094172,train,Yes,Yes,Yes,No
